Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,region,address,aux addres,latitude,longitude,type,power,service,Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,Car,Style,Transmission,VehicleType,PriceRange(Lakhs),Capacity,BootSpace,BaseModel,TopModel
Peugeot e-Traveller Compact 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7.0,"€50,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot e-Traveller Standard 50 kWh,Battery Electric Vehicle |       45 kWh ,13.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7.0,"€55,900","£49,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot e-Traveller Long 50 kWh,Battery Electric Vehicle |       45 kWh ,13.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7.0,"€56,690","£49,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot e-Traveller Standard 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7.0,"€57,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot e-Traveller Long 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7.0,"€58,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi e-tron 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 km/h,365 km,237 Wh/km,590 km/h,All Wheel Drive,5.0,"€81,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 km/h,375 km,231 Wh/km,600 km/h,All Wheel Drive,5.0,"€83,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seres 3 ,Battery Electric Vehicle |       52 kWh ,8.9 sec,155 km/h,270 km,193 Wh/km,390 km/h,Front Wheel Drive,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai IONIQ 5 Project 45,Battery Electric Vehicle |       72.6 kWh ,5.2 sec,185 km/h,370 km,196 Wh/km,860 km/h,All Wheel Drive,5.0,"€59,550","£48,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche Taycan ,Battery Electric Vehicle |       71 kWh,5.4 sec,230 km/h,395 km,180 Wh/km,790 km/h,Rear Wheel Drive,4.0,"€83,520","£70,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche Taycan Plus,Battery Electric Vehicle |       83.7 kWh,5.4 sec,230 km/h,460 km,182 Wh/km,960 km/h,Rear Wheel Drive,4.0,"€89,244","£74,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Model S Long Range,Battery Electric Vehicle |       90 kWh ,3.2 sec,250 km/h,555 km,162 Wh/km,830 km/h,All Wheel Drive,5.0,"€86,990","£83,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Model S Plaid,Battery Electric Vehicle |       90 kWh ,2.1 sec,322 km/h,535 km,168 Wh/km,800 km/h,All Wheel Drive,5.0,"€126,990","£118,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Model X Long Range,Battery Electric Vehicle |       90 kWh ,3.9 sec,250 km/h,475 km,189 Wh/km,710 km/h,All Wheel Drive,7.0,"€95,990","£90,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Model X Plaid,Battery Electric Vehicle |       90 kWh ,2.6 sec,262 km/h,455 km,198 Wh/km,680 km/h,All Wheel Drive,7.0,"€116,990","£110,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Cooper SE ,Battery Electric Vehicle |       28.9 kWh,7.3 sec,150 km/h,185 km,156 Wh/km,260 km/h,Front Wheel Drive,4.0,"€32,500","£26,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC iEV7s ,Battery Electric Vehicle |       39 kWh,12.0 sec,132 km/h,225 km,173 Wh/km,160 km/h,Front Wheel Drive,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen ID.4 Pure Performance,Battery Electric Vehicle |       52 kWh,9.0 sec,160 km/h,285 km,182 Wh/km,410 km/h,Rear Wheel Drive,5.0,"€38,450","£36,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi e-tron GT quattro,Battery Electric Vehicle |       85 kWh,4.1 sec,245 km/h,420 km,202 Wh/km,840 km/h,All Wheel Drive,4.0,"€99,800","£79,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volvo C40 Recharge,Battery Electric Vehicle |       75 kWh,4.7 sec,180 km/h,340 km,221 Wh/km,440 km/h,All Wheel Drive,5.0,"€62,050","£57,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9 sec,155 km/h,250 km,157 Wh/km,210 km/h,Front Wheel Drive,5.0,"€35,650","£27,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h,Front Wheel Drive,5.0,"€41,850","£32,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche Taycan 4S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,4.1 sec,240 km/h,405 km,207 Wh/km,850 km/h,All Wheel Drive,4.0,"€111,842","£87,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche Taycan Turbo Cross Turismo,Battery Electric Vehicle |       83.7 kWh,3.3 sec,250 km/h,385 km,217 Wh/km,800 km/h,All Wheel Drive,4.0,"€154,444","£116,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche Taycan Turbo S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,2.9 sec,250 km/h,380 km,220 Wh/km,790 km/h,All Wheel Drive,4.0,"€187,746","£139,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia EV6 GT,Battery Electric Vehicle |       77.4 kWh ,3.5 sec,260 km/h,395 km,196 Wh/km,920 km/h,All Wheel Drive,5.0,"€65,990","£58,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW iX xDrive40,Battery Electric Vehicle |       71 kWh,6.1 sec,200 km/h,350 km,203 Wh/km,470 km/h,All Wheel Drive,5.0,"€77,300","£69,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW iX xDrive50,Battery Electric Vehicle |       105.2 kWh,4.6 sec,200 km/h,505 km,208 Wh/km,620 km/h,All Wheel Drive,5.0,"€98,000","£91,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG MG5 Electric,Battery Electric Vehicle |       57 kWh ,8.3 sec,180 km/h,340 km,168 Wh/km,440 km/h,Front Wheel Drive,5.0,"€35,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG Marvel R Performance,Battery Electric Vehicle |       65 kWh ,4.9 sec,200 km/h,330 km,197 Wh/km,380 km/h,All Wheel Drive,5.0,"€50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai IONIQ 5 Standard Range 2WD,Battery Electric Vehicle |       58 kWh ,8.5 sec,185 km/h,310 km,187 Wh/km,720 km/h,Rear Wheel Drive,5.0,"€41,900","£36,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai IONIQ 5 Standard Range AWD,Battery Electric Vehicle |       58 kWh ,6.1 sec,185 km/h,305 km,190 Wh/km,710 km/h,All Wheel Drive,5.0,"€45,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai IONIQ 5 Long Range 2WD,Battery Electric Vehicle |       72.6 kWh ,7.4 sec,185 km/h,385 km,189 Wh/km,890 km/h,Rear Wheel Drive,5.0,"€45,100","£41,945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai IONIQ 5 Long Range AWD,Battery Electric Vehicle |       72.6 kWh ,5.2 sec,185 km/h,375 km,194 Wh/km,870 km/h,All Wheel Drive,5.0,"€48,900","£45,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia EV6 Standard Range 2WD,Battery Electric Vehicle |       58 kWh ,8.5 sec,185 km/h,320 km,181 Wh/km,740 km/h,Rear Wheel Drive,5.0,"€44,990","£40,985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia EV6 Long Range 2WD,Battery Electric Vehicle |       77.4 kWh ,7.5 sec,185 km/h,420 km,184 Wh/km,980 km/h,Rear Wheel Drive,5.0,"€54,990","£48,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia EV6 Long Range AWD,Battery Electric Vehicle |       77.4 kWh ,5.4 sec,185 km/h,410 km,189 Wh/km,950 km/h,All Wheel Drive,5.0,"€56,000","£52,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes EQS 450+,Battery Electric Vehicle |       107.8 kWh,6.2 sec,210 km/h,640 km,168 Wh/km,840 km/h,Rear Wheel Drive,5.0,"€106,374","£95,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes EQS 580 4MATIC,Battery Electric Vehicle |       107.8 kWh,4.3 sec,210 km/h,610 km,177 Wh/km,800 km/h,All Wheel Drive,5.0,"€135,529","£115,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Model 3 Standard Range Plus,Battery Electric Vehicle |       50 kWh ,5.6 sec,225 km/h,340 km,147 Wh/km,680 km/h,Rear Wheel Drive,5.0,"€43,560","£40,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar 2 Standard Range Single Motor,Battery Electric Vehicle |       61 kWh ,7.4 sec,160 km/h,350 km,174 Wh/km,450 km/h,Front Wheel Drive,5.0,"€46,500","£39,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar 2 Long Range Single Motor,Battery Electric Vehicle |       75 kWh ,7.4 sec,160 km/h,425 km,176 Wh/km,550 km/h,Front Wheel Drive,5.0,"€49,500","£42,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar 2 Long Range Dual Motor,Battery Electric Vehicle |       75 kWh ,4.7 sec,205 km/h,395 km,190 Wh/km,510 km/h,All Wheel Drive,5.0,"€52,500","£45,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen ID.4 Pure,Battery Electric Vehicle |       52 kWh,10.9 sec,160 km/h,285 km,182 Wh/km,410 km/h,Rear Wheel Drive,5.0,"€36,950","£32,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi Q4 e-tron 40,Battery Electric Vehicle |       76.6 kWh,8.5 sec,160 km/h,405 km,189 Wh/km,500 km/h,Rear Wheel Drive,5.0,"€47,500","£44,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi Q4 e-tron 50 quattro,Battery Electric Vehicle |       76.6 kWh,6.2 sec,180 km/h,385 km,199 Wh/km,470 km/h,All Wheel Drive,5.0,"€53,600","£51,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi Q4 Sportback e-tron 50 quattro,Battery Electric Vehicle |       76.6 kWh,6.2 sec,180 km/h,400 km,192 Wh/km,490 km/h,All Wheel Drive,5.0,"€55,600","£52,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes EQB 350 4MATIC,Battery Electric Vehicle |       66.5 kWh,6.5 sec,160 km/h,340 km,196 Wh/km,400 km/h,All Wheel Drive,7.0,"€60,000","£50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen ID.4 GTX,Battery Electric Vehicle |       77 kWh,6.2 sec,180 km/h,400 km,193 Wh/km,490 km/h,All Wheel Drive,5.0,"€50,415","£55,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes EQA 300 4MATIC,Battery Electric Vehicle |       66.5 kWh,7.7 sec,160 km/h,350 km,190 Wh/km,420 km/h,All Wheel Drive,5.0,"€53,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes EQA 350 4MATIC,Battery Electric Vehicle |       66.5 kWh,6.0 sec,160 km/h,350 km,190 Wh/km,420 km/h,All Wheel Drive,5.0,"€56,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota PROACE Verso M 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7.0,"€58,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota PROACE Verso L 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 km/h,180 km,250 Wh/km,240 km/h,Front Wheel Drive,7.0,"€59,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota PROACE Verso M 75 kWh,Battery Electric Vehicle |       68 kWh ,13.1 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7.0,"€64,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota PROACE Verso L 75 kWh,Battery Electric Vehicle |       68 kWh ,13.1 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7.0,"€65,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUPRA Born 150 kW - 62 kWh,Battery Electric Vehicle |       58 kWh,7.3 sec,160 km/h,350 km,166 Wh/km,440 km/h,Rear Wheel Drive,5.0,"€36,770","£30,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUPRA Born 170 kW - 62 kWh,Battery Electric Vehicle |       58 kWh,6.6 sec,160 km/h,345 km,168 Wh/km,430 km/h,Rear Wheel Drive,5.0,"€39,000","£31,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUPRA Born 170 kW - 82 kWh,Battery Electric Vehicle |       77 kWh,7.0 sec,160 km/h,450 km,171 Wh/km,550 km/h,Rear Wheel Drive,5.0,"€43,000","£42,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW i4 M50,Battery Electric Vehicle |       80.7 kWh,3.9 sec,225 km/h,450 km,179 Wh/km,630 km/h,All Wheel Drive,5.0,"€69,900","£63,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volvo XC40 Recharge Twin Pure Electric,Battery Electric Vehicle |       75 kWh,4.9 sec,180 km/h,340 km,221 Wh/km,440 km/h,All Wheel Drive,5.0,"€59,250","£49,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault Megane E-Tech Electric,Battery Electric Vehicle |       60 kWh ,8.0 sec,160 km/h,335 km,179 Wh/km,480 km/h,Front Wheel Drive,5.0,"€38,000","£32,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot e-Rifter Standard 50 kWh,Battery Electric Vehicle |       45 kWh ,11.7 sec,135 km/h,200 km,225 Wh/km,270 km/h,Front Wheel Drive,7.0,"€37,590","£30,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot e-Rifter Long 50 kWh,Battery Electric Vehicle |       45 kWh ,11.7 sec,135 km/h,195 km,231 Wh/km,260 km/h,Front Wheel Drive,7.0,"€42,590","£32,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG Marvel R ,Battery Electric Vehicle |       65 kWh ,7.9 sec,200 km/h,340 km,191 Wh/km,390 km/h,Rear Wheel Drive,5.0,"€40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle |       76 kWh ,4.4 sec,233 km/h,490 km,155 Wh/km,820 km/h,All Wheel Drive,5.0,"€53,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG MG5 EV Long Range,Battery Electric Vehicle |       57 kWh ,7.7 sec,185 km/h,340 km,168 Wh/km,340 km/h,Front Wheel Drive,5.0,,"£26,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi Q4 e-tron 45 quattro,Battery Electric Vehicle |       76.6 kWh,6.9 sec,180 km/h,385 km,199 Wh/km,470 km/h,All Wheel Drive,5.0,"€50,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi Q4 Sportback e-tron 40,Battery Electric Vehicle |       76.6 kWh,8.5 sec,160 km/h,425 km,180 Wh/km,520 km/h,Rear Wheel Drive,5.0,"€49,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Prithviraj Market, Rabindra Nagar, New Delhi- 110003","Electric Vehicle Charger, Prithviraj Market, Rabindra Nagar, New Delhi- 110003",28.6007255,77.2262524,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Prithviraj Market, Rabindra Nagar, New Delhi- 110003","Electric Vehicle Charger, Prithviraj Market, Rabindra Nagar, New Delhi- 110003",28.6007255,77.2262524,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhi- 110003","Electric Vehicle Charger, Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhi- 110003",28.5883031,77.2176972,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003","Electric Vehicle Charger, Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003",28.5826538,77.2200872,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003","Electric Vehicle Charger, Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003",28.584485,77.220316,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021","Electric Vehicle Charger, Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021",28.6023562,77.1866178,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhi- 110001",28.6336861,77.2181403,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001","Electric Vehicle Charger, Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001",28.6304482,77.2255578,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021","Electric Vehicle Charger, Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021",28.5838828,77.163408,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Khan Market, Rabindra Nagar, New Delhi- 110003","Electric Vehicle Charger, Khan Market, Rabindra Nagar, New Delhi- 110003",28.6003333,77.2268889,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Outside Devinder Collections, Shankar Market, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Outside Devinder Collections, Shankar Market, Connaught Place, New Delhi- 110001",28.633675,77.2234929,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Opposite HDFC Bank, M- Block, , Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Opposite HDFC Bank, M- Block, , Connaught Place, New Delhi- 110001",28.6325843,77.2229787,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhi- 110001",28.6317294,77.2221076,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhi- 110001","Electric Vehicle Charger, Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhi- 110001",28.633841,77.2074439,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"NDMC Parking,  Near Ferns n Petals, Near BPCL Petrol Pump,  C Block RR5, Connaught Place,  New Delhi- 110001","Electric Vehicle Charger, NDMC Parking,  Near Ferns n Petals, Near BPCL Petrol Pump,  C Block RR5, Connaught Place,  New Delhi- 110001",28.6281626,77.2155151,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"NDMC Parking,  Near Croma, D Block RR5,  Opposite BPCL Petrol Pump,  Connaught Place, New Delhi- 110001","Electric Vehicle Charger, NDMC Parking,  Near Croma, D Block RR5,  Opposite BPCL Petrol Pump,  Connaught Place, New Delhi- 110001",28.6281626,77.2155151,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Next to PVR Plaza, H Block RR4, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Next to PVR Plaza, H Block RR4, Connaught Place, New Delhi- 110001",28.6350113,77.2196112,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhi- 110001",28.6338828,77.2215424,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Opposite HP Petrol Pump, Block E, Middle Circle, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Opposite HP Petrol Pump, Block E, Middle Circle, Connaught Place, New Delhi- 110001",28.6318964,77.2215824,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhi- 110001","Electric Vehicle Charger, Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhi- 110001",28.6242518,77.2125818,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Sarojini Nagar Market, Sarojini Nagar, New Delhi- 110023","Electric Vehicle Charger, Sarojini Nagar Market, Sarojini Nagar, New Delhi- 110023",28.5772318,77.1972385,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Outside Iqbal Bros., G1, Block G, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Outside Iqbal Bros., G1, Block G, Connaught Place, New Delhi- 110001",28.6337975,77.2174553,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003","Electric Vehicle Charger, Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003",28.5838046,77.2218225,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.2129959,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.2129959,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"FICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001","Electric Vehicle Charger, FICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001",28.6268691,77.231853,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021","Electric Vehicle Charger, Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021",28.5852879,77.177094,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"PSOI Club, Chanakyapuri, New Delhi 110021","Electric Vehicle Charger, PSOI Club, Chanakyapuri, New Delhi 110021",28.586617,77.19364,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"PSOI Club, Chanakyapuri, New Delhi 110021","Electric Vehicle Charger, PSOI Club, Chanakyapuri, New Delhi 110021",28.586617,77.19364,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Near Snow White, Block D, Inner Circle, Connaught Place, New Delhi 110001","Electric Vehicle Charger, Near Snow White, Block D, Inner Circle, Connaught Place, New Delhi 110001",28.6336306,77.220579,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Outside Van Heusen Showroom, Block C, Inner Circle, Connaught Place, New Delhi 110001","Electric Vehicle Charger, Outside Van Heusen Showroom, Block C, Inner Circle, Connaught Place, New Delhi 110001",28.6329899,77.2179805,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"16-B, Woodland Showroom, Block B, Connaught Place, New Delhi 110001","Electric Vehicle Charger, 16-B, Woodland Showroom, Block B, Connaught Place, New Delhi 110001",28.6340719,77.2187798,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,CMRL,Nandanam Metro station Chennai  (CMRL),"Electric Vehicle Charger, Nandanam Metro station Chennai  (CMRL)",12.9959222,80.2102867,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,CMRL,Nandanam Metro station Chennai  (CMRL),"Electric Vehicle Charger, Nandanam Metro station Chennai  (CMRL)",12.9959222,80.2102867,AC-001,10(3.3 kW each),Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Maha Metro,"Nagpur Airport Metro Station, Nagpur","Electric Vehicle Charger, Nagpur Airport Metro Station, Nagpur",21.0868801,79.0635586,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
